ablation,variant,metric,value
A1_signal,entropy(SVIP),speedup_costmodel,1.2575
A1_signal,top1_margin,speedup_costmodel,1.2731
A1_signal,fixed(no signal),speedup_costmodel,1.254
A2_controller,threshold(fixedK*),net_speedup,1.5379
A2_controller,UCB,net_speedup,1.4633
A2_controller,EpsGreedy,net_speedup,1.4323
A4_candidate_set,"fine{1,2,3,5,7}",best_net_speedup,1.5379
A4_candidate_set,"coarse{1,3,7}",best_net_speedup,1.5217
A5_generalise,tune=gsm8k->test=gsm8k,retune_gap_pct,0.0
A5_generalise,tune=gsm8k->test=humaneval,retune_gap_pct,-0.46
A5_generalise,tune=gsm8k->test=mt_bench,retune_gap_pct,-2.43
A5_generalise,tune=humaneval->test=gsm8k,retune_gap_pct,-0.06
A5_generalise,tune=humaneval->test=humaneval,retune_gap_pct,0.0
A5_generalise,tune=humaneval->test=mt_bench,retune_gap_pct,0.0
A5_generalise,tune=mt_bench->test=gsm8k,retune_gap_pct,-0.06
A5_generalise,tune=mt_bench->test=humaneval,retune_gap_pct,0.0
A5_generalise,tune=mt_bench->test=mt_bench,retune_gap_pct,0.0
