workload,prompt_idx,policy,error_type,K,accepted_or_entropy
humaneval,0,fixed_1,Under-Drafting,1,0.08080562204122543
humaneval,0,fixed_1,Under-Drafting,1,0.035244643688201904
humaneval,0,fixed_1,Under-Drafting,1,0.028473911806941032
humaneval,0,fixed_1,Under-Drafting,1,0.14782853424549103
humaneval,0,fixed_1,Under-Drafting,1,0.023505769670009613
humaneval,0,fixed_1,Under-Drafting,1,0.017808912321925163
humaneval,0,fixed_1,Under-Drafting,1,0.027541469782590866
humaneval,0,fixed_1,Under-Drafting,1,0.16023476421833038
humaneval,0,fixed_1,Under-Drafting,1,0.04252474009990692
humaneval,0,fixed_1,Under-Drafting,1,0.05139315500855446
humaneval,0,fixed_1,Under-Drafting,1,0.04434318095445633
humaneval,0,fixed_1,Under-Drafting,1,0.14616116881370544
humaneval,0,fixed_1,Under-Drafting,1,0.019668931141495705
humaneval,0,fixed_1,Under-Drafting,1,0.10675857961177826
humaneval,0,fixed_1,Under-Drafting,1,0.10483350604772568
humaneval,0,fixed_1,Under-Drafting,1,0.012716036289930344
humaneval,1,fixed_1,Under-Drafting,1,0.06063215807080269
humaneval,1,fixed_1,Under-Drafting,1,0.07907971739768982
humaneval,1,fixed_1,Under-Drafting,1,0.16058003902435303
humaneval,2,fixed_1,Under-Drafting,1,0.05748093128204346
humaneval,2,fixed_1,Under-Drafting,1,0.013912462629377842
humaneval,2,fixed_1,Under-Drafting,1,0.09453648328781128
humaneval,2,fixed_1,Under-Drafting,1,0.07276315987110138
humaneval,2,fixed_1,Under-Drafting,1,0.11420509219169617
humaneval,2,fixed_1,Under-Drafting,1,0.1148768737912178
humaneval,2,fixed_1,Under-Drafting,1,0.09133832901716232
humaneval,2,fixed_1,Under-Drafting,1,0.11063740402460098
humaneval,2,fixed_1,Under-Drafting,1,0.02200217917561531
humaneval,2,fixed_1,Under-Drafting,1,0.00045164531911723316
humaneval,2,fixed_1,Under-Drafting,1,0.017594557255506516
humaneval,2,fixed_1,Under-Drafting,1,0.009242188185453415
humaneval,2,fixed_1,Under-Drafting,1,0.0499722883105278
humaneval,2,fixed_1,Under-Drafting,1,0.13682307302951813
humaneval,2,fixed_1,Under-Drafting,1,0.002561706816777587
humaneval,2,fixed_1,Under-Drafting,1,0.045380447059869766
humaneval,2,fixed_1,Under-Drafting,1,0.003261200850829482
humaneval,2,fixed_1,Under-Drafting,1,0.017506815493106842
